date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,user_cnt,acc_user_cnt,tweet_cnt,acc_tweet_cnt
2020-04-20,891,418,839,0.4148,0.1946,0.3906,891,418,839,1218,1218,2148,2148
2020-04-21,852,498,968,0.3676,0.2148,0.4176,1743,916,1807,1187,2405,2318,4466
2020-04-22,1174,575,1216,0.396,0.1939,0.4101,2917,1491,3023,1422,3827,2965,7431
2020-04-23,1629,812,1679,0.3954,0.1971,0.4075,4546,2303,4702,1769,5596,4120,11551
2020-04-24,2599,1232,2594,0.4045,0.1918,0.4037,7145,3535,7296,2448,8044,6425,17976
2020-04-25,3111,1700,3672,0.3667,0.2004,0.4329,10256,5235,10968,2972,11016,8483,26459
2020-04-26,11975,6913,14112,0.3629,0.2095,0.4276,22231,12148,25080,14826,25842,33000,59459
2020-04-27,71816,39673,78123,0.3788,0.2092,0.412,94047,51821,103203,34008,59850,189612,249071
2020-04-28,50842,41610,42933,0.3755,0.3073,0.3171,144889,93431,146136,14392,74242,135385,384456
2020-04-29,47154,47631,45630,0.3358,0.3392,0.325,192043,141062,191766,10882,85124,140415,524871
2020-04-30,15642,9770,16925,0.3695,0.2308,0.3998,207685,150832,208691,1810,86934,42337,567208
