date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,user_cnt,acc_user_cnt,tweet_cnt,acc_tweet_cnt
2020-04-20,743,320,736,0.413,0.1779,0.4091,743,320,736,1094,1094,1799,1799
2020-04-21,684,398,835,0.3568,0.2076,0.4356,1427,718,1571,1043,2137,1917,3716
2020-04-22,993,458,1048,0.3974,0.1833,0.4194,2420,1176,2619,1240,3377,2499,6215
2020-04-23,1362,648,1474,0.3909,0.186,0.4231,3782,1824,4093,1547,4924,3484,9699
2020-04-24,2208,971,2242,0.4073,0.1791,0.4136,5990,2795,6335,2137,7061,5421,15120
2020-04-25,2642,1383,3240,0.3637,0.1904,0.446,8632,4178,9575,2587,9648,7265,22385
2020-04-26,11203,6407,13357,0.3618,0.2069,0.4313,19835,10585,22932,14287,23935,30967,53352
2020-04-27,64199,36238,73004,0.3701,0.2089,0.4209,84034,46823,95936,33198,57133,173441,226793
2020-04-28,39910,33011,34381,0.3719,0.3076,0.3204,123944,79834,130317,10602,67735,107302,334095
2020-04-29,1839,1364,1804,0.3673,0.2724,0.3603,125783,81198,132121,2329,70064,5007,339102
2020-04-30,3787,2419,3896,0.3749,0.2395,0.3857,129570,83617,136017,1332,71396,10102,349204
