date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-26,1763,2399,1348,0.32,0.4354,0.2446,1763,2399,1348,5510,5510
2020-04-27,5070,3075,2781,0.464,0.2814,0.2545,6833,5474,4129,10926,16436
2020-04-28,3156,1478,2858,0.4212,0.1973,0.3815,9989,6952,6987,7492,23928
2020-04-29,2579,1319,2267,0.4183,0.2139,0.3677,12568,8271,9254,6165,30093
2020-04-30,1776,532,866,0.5595,0.1676,0.2728,14344,8803,10120,3174,33267
2020-05-01,3224,948,1500,0.5684,0.1671,0.2645,17568,9751,11620,5672,38939
2020-05-02,6815,3286,4763,0.4585,0.2211,0.3204,24383,13037,16383,14864,53803
2020-05-03,2707,1431,2605,0.4015,0.2122,0.3863,27090,14468,18988,6743,60546
2020-05-04,347,586,265,0.2896,0.4891,0.2212,27437,15054,19253,1198,61744
2020-05-05,448,231,113,0.5657,0.2917,0.1427,27885,15285,19366,792,62536
