date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-26,9686,10315,4287,0.3988,0.4247,0.1765,9686,10315,4287,24288,24288
2020-04-27,16875,6247,7425,0.5524,0.2045,0.2431,26561,16562,11712,30547,54835
2020-04-28,8921,2677,12394,0.3718,0.1116,0.5166,35482,19239,24106,23992,78827
2020-04-29,11453,4915,5202,0.531,0.2279,0.2412,46935,24154,29308,21570,100397
2020-04-30,6510,1351,2059,0.6562,0.1362,0.2076,53445,25505,31367,9920,110317
2020-05-01,13372,4455,5260,0.5792,0.193,0.2278,66817,29960,36627,23087,133404
2020-05-02,26158,11498,14151,0.5049,0.2219,0.2731,92975,41458,50778,51807,185211
2020-05-03,10227,3043,10150,0.4367,0.1299,0.4334,103202,44501,60928,23420,208631
2020-05-04,3471,8527,3334,0.2264,0.5562,0.2175,106673,53028,64262,15332,223963
2020-05-05,19345,13653,18538,0.3754,0.2649,0.3597,126018,66681,82800,51536,275499
2020-05-06,12706,3788,8643,0.5055,0.1507,0.3438,138724,70469,91443,25137,300636
2020-05-07,3516,8818,5226,0.2002,0.5022,0.2976,142240,79287,96669,17560,318196
2020-05-08,2476,4058,7031,0.1825,0.2992,0.5183,144716,83345,103700,13565,331761
2020-05-09,440,267,431,0.3866,0.2346,0.3787,145156,83612,104131,1138,332899
2020-05-10,173,11,68,0.6865,0.0437,0.2698,145329,83623,104199,252,333151
