date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-26,14366,1328,557,0.884,0.0817,0.0343,14366,1328,557,16251,16251
2020-04-27,8170,3687,1972,0.5908,0.2666,0.1426,22536,5015,2529,13829,30080
2020-04-28,1766,4816,998,0.233,0.6354,0.1317,24302,9831,3527,7580,37660
2020-04-29,3460,2342,2042,0.4411,0.2986,0.2603,27762,12173,5569,7844,45504
2020-04-30,1454,1145,1575,0.3483,0.2743,0.3773,29216,13318,7144,4174,49678
2020-05-01,2563,2129,1364,0.4232,0.3516,0.2252,31779,15447,8508,6056,55734
2020-05-02,3324,6510,1993,0.2811,0.5504,0.1685,35103,21957,10501,11827,67561
2020-05-03,2349,4687,688,0.3041,0.6068,0.0891,37452,26644,11189,7724,75285
2020-05-04,3533,6038,2191,0.3004,0.5133,0.1863,40985,32682,13380,11762,87047
2020-05-05,2901,9854,1264,0.2069,0.7029,0.0902,43886,42536,14644,14019,101066
2020-05-06,1779,6821,1135,0.1827,0.7007,0.1166,45665,49357,15779,9735,110801
2020-05-07,817,3245,559,0.1768,0.7022,0.121,46482,52602,16338,4621,115422
2020-05-08,1092,2426,531,0.2697,0.5992,0.1311,47574,55028,16869,4049,119471
2020-05-09,546,1288,324,0.253,0.5968,0.1501,48120,56316,17193,2158,121629
2020-05-10,230,311,1899,0.0943,0.1275,0.7783,48350,56627,19092,2440,124069
2020-05-11,406,687,362,0.279,0.4722,0.2488,48756,57314,19454,1455,125524
2020-05-12,1338,3900,316,0.2409,0.7022,0.0569,50094,61214,19770,5554,131078
2020-05-13,586,1296,433,0.2531,0.5598,0.187,50680,62510,20203,2315,133393
2020-05-14,508,1252,226,0.2558,0.6304,0.1138,51188,63762,20429,1986,135379
2020-05-15,361,993,498,0.1949,0.5362,0.2689,51549,64755,20927,1852,137231
2020-05-16,1102,510,249,0.5922,0.274,0.1338,52651,65265,21176,1861,139092
2020-05-17,131,1290,161,0.0828,0.8154,0.1018,52782,66555,21337,1582,140674
2020-05-18,458,461,169,0.421,0.4237,0.1553,53240,67016,21506,1088,141762
2020-05-19,479,4510,1015,0.0798,0.7512,0.1691,53719,71526,22521,6004,147766
