date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral
2020-04-14,10,0,2,0.8333,0.0000,0.1667,10,0,2
2020-04-15,2,0,0,1.0000,0.0000,0.0000,12,0,2
2020-04-16,4,0,4,0.5000,0.0000,0.5000,16,0,6
2020-04-17,254,188,288,0.3479,0.2575,0.3945,270,188,294
2020-04-18,64,74,106,0.2623,0.3033,0.4344,334,262,400
2020-04-19,160,54,76,0.5517,0.1862,0.2621,494,316,476
2020-04-20,88,46,110,0.3607,0.1885,0.4508,582,362,586
2020-04-21,42,8,24,0.5676,0.1081,0.3243,624,370,610
2020-04-22,28,6,14,0.5833,0.1250,0.2917,652,376,624
2020-04-23,18,30,20,0.2647,0.4412,0.2941,670,406,644
2020-04-24,24,100,16,0.1714,0.7143,0.1143,694,506,660
2020-04-25,18,12,18,0.3750,0.2500,0.3750,712,518,678
2020-04-26,38,34,36,0.3519,0.3148,0.3333,750,552,714
2020-04-27,0,6,8,0.0000,0.4286,0.5714,750,558,722
